current_qualified,target_schema,proposed_target_name,owning_product,classification,primary_key_type,creating_migration,migration_complexity,v4_risk,v5_risk,may_discard,source_repo,note
"public.field_agent_pay_run_snapshots","getpro","field_agent_pay_run_snapshots","getpro","product-specific","unknown","034_field_agent_pay_run_snapshots.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_run_status_history","getpro","field_agent_pay_run_status_history","getpro","product-specific","unknown","033_field_agent_pay_run_status_history.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_pay_runs","getpro","field_agent_pay_runs","getpro","product-specific","integer_identity","020_field_agent_pay_runs.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_payout_batch_pay_runs","getpro","field_agent_payout_batch_pay_runs","getpro","product-specific","integer_identity","039_field_agent_payout_batches.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_payout_batches","getpro","field_agent_payout_batches","getpro","product-specific","integer_identity","039_field_agent_payout_batches.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_payout_finance_audit","getpro","field_agent_payout_finance_audit","getpro","product-specific","unknown","042_field_agent_payout_finance_audit.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_provider_submissions","getpro","field_agent_provider_submissions","getpro","product-specific","integer_identity","002_field_agent.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_submission_audit","getpro","field_agent_submission_audit","getpro","product-specific","unknown","028_field_agent_submission_audit.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_submission_website_hours","getpro","field_agent_submission_website_hours","getpro","product-specific","composite_or_named","046_field_agent_website_specialities_hours.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agent_submission_website_specialities","getpro","field_agent_submission_website_specialities","getpro","product-specific","composite_or_named","046_field_agent_website_specialities_hours.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.field_agents","getpro","field_agents","getpro","product-specific","integer_identity","002_field_agent.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.finance_override_events","getpro","finance_override_events","getpro","product-specific","unknown","037_finance_override_events.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_allocation_settings","getpro","intake_allocation_settings","getpro","product-specific","integer","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_category_lead_settings","getpro","intake_category_lead_settings","getpro","product-specific","composite_or_named","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_client_projects","getpro","intake_client_projects","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_clients","getpro","intake_clients","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_code_sequences","getpro","intake_code_sequences","getpro","product-specific","composite_or_named","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_deal_reviews","getpro","intake_deal_reviews","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_phone_otp","getpro","intake_phone_otp","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_project_assignments","getpro","intake_project_assignments","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.intake_project_images","getpro","intake_project_images","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.lead_comments","getpro","lead_comments","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.leads","getpro","leads","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"platform.database_identity","platform","database_identity","platform","shared","integer","128_platform_database_identity.sql","low","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"platform.deployments","platform","deployments","platform","shared","text","129_platform_deployments.sql","low","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"platform.schema_migrations","platform","schema_migrations","platform","shared","integer_identity","130_platform_schema_migrations.sql","low","n/a_on_v4_branch","high_if_moved_without_compat","true","getpro",""
"public.professional_signups","getpro","professional_signups","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.reviews","getpro","reviews","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.seed_run_items","platform","seed_run_items","platform","shared","integer_identity","005_seed_runs.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.seed_runs","platform","seed_runs","platform","shared","integer_identity","005_seed_runs.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.tenant_cities","getpro","tenant_cities","getpro","product-specific","integer_identity","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.tenant_commerce_settings","getpro","tenant_commerce_settings","getpro","product-specific","integer","000_full_schema.sql","medium","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.tenants","platform","organizations","platform","shared","integer","000_full_schema.sql","critical","high_if_moved_without_compat","high_if_moved_without_compat","true","getpro",""
"public.session","platform","sessions","platform","shared","text_sid","runtime:connect-pg-simple","critical","critical_shared_store","critical_shared_store","true","getpro","createTableIfMissing; shared across deployments"
"public.cms_audit_log","ngo","cms_audit_log","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_events","ngo","cms_events","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_gallery_items","ngo","cms_gallery_items","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_homepage_sections","ngo","cms_homepage_sections","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_news_posts","ngo","cms_news_posts","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_pages","ngo","cms_pages","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_programs","ngo","cms_programs","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.cms_resources","ngo","cms_resources","ngo","product-specific","uuid","007_create_cms_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.media_assets","ngo","media_assets","ngo","product-specific","uuid","014_create_media_approval.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.media_audit_log","ngo","media_audit_log","ngo","product-specific","uuid","014_create_media_approval.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.platform_users","platform","organization_memberships","ngo","shared","uuid","004_create_platform_users.sql","high","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.sponsor_records","ngo","sponsor_records","ngo","product-specific","uuid","011_create_workflow_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.sponsorship_children","ngo","sponsorship_children","ngo","product-specific","uuid","011_create_workflow_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.sponsorship_requests","ngo","sponsorship_requests","ngo","product-specific","uuid","011_create_workflow_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.tenant_domains","platform","organization_domains","ngo","shared","uuid","003_create_tenant_domains.sql","high","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.tenant_settings","ngo","site_settings","ngo","product-specific","uuid","002_create_tenant_settings.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.tenants","platform","organizations","ngo","shared","uuid","001_create_tenants.sql","high","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.volunteer_applications","ngo","volunteer_applications","ngo","product-specific","uuid","011_create_workflow_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
"public.volunteer_assignments","ngo","volunteer_assignments","ngo","product-specific","uuid","011_create_workflow_tables.sql","medium","n/a","n/a","true","cda_platform","NGO cda_platform; live demo may lack tables beyond tenants/domains/settings"
